id,name,round,homeTeam,awayTeam,time,venue,clash
597011,8 South 2022,4,Mitcham,Lysterfield,10:00,Lewis Park,
597011,8 South 2022,4,Blackburn Red,Knox,10:00,Lewis Park,
597016,8 North 2022,4,Norwood,Heathmont,10:00,Quambee Reserve,
597024,11B 2022,4,East Ringwood,Heathmont,10:05,Ainslie Park,
596990,12B Girls 2022,4,The Basin White,Chirnside Park,10:05,Batterham Reserve,
597008,11A 2022,4,The Basin Green,Montrose Blue,10:05,Batterham Reserve,
596990,12B Girls 2022,4,South Croydon,Boronia,10:05,Benson Oval,
597013,11C 2022,4,Glen Waverley Rovers,South Croydon,10:05,Brentwood Reserve,
597013,11C 2022,4,Upper Ferntree Gully,Bayswater/Kilsyth,10:05,Dobson Park,
596990,12B Girls 2022,4,Rowville,Norwood,10:05,Eildon Park,
597018,10 Girls 2022,4,East Ringwood,Vermont,10:05,Glen Park,
596990,12B Girls 2022,4,Heathmont,Knox,10:05,HE Parker Reserve,
597024,11B 2022,4,Mooroolbark,East Burwood ,10:05,Kiloran Park,
597008,11A 2022,4,Knox,Blackburn Black,10:05,Knox Gardens Reserve,
597008,11A 2022,4,Mitcham Black,Lysterfield Teal,10:05,Koonung Reserve,
596990,12B Girls 2022,4,SBL Wolves Teal,Montrose,10:05,Lakesfield Reserve,
597013,11C 2022,4,Rowville Knights,Noble Park,10:05,Liberty Reserve,
596999,11D 2022,4,Vermont Gold,Wantirna South White,10:05,Livingstone Primary School,
597013,11C 2022,4,Boronia,Coldstream,10:05,Miller Park,
596981,13D 2022,4,Montrose Red,Norwood Purple,10:05,Montrose Recreation Reserve,
596999,11D 2022,4,Montrose Red,Lysterfield Grey,10:05,Montrose Recreation Reserve,
596965,12A Girls 2022,4,Blackburn,Ferntree Gully Eagles,10:05,Morton Park,
596999,11D 2022,4,Blackburn Red,North Ringwood Black,10:05,Morton Park,
596966,12C 2022,4,Waverley Blues,North Ringwood Black,10:05,Mt Waverley Reserve,
